Model,Feature Set,Accuracy,Precision,Recall,F1,AUC,Training Time Seconds,Model Type
SVM,TF-IDF + Linguistic,0.966952264381885,0.9739130434782609,0.9596083231334149,0.966707768187423,0.9948493533226765,46.77249193191528,Traditional ML
CNN for Text,Tokenized Sequences,0.9534883720930233,0.9743918053777209,0.9314565483476133,0.9524405506883604,0.99305306903934,123.60774874687195,Deep Learning
SVM with Word2Vec,Word2Vec Embeddings,0.9479804161566707,0.9540942928039702,0.9412484700122399,0.9476278496611213,0.9889151731339393,61.80590891838074,Traditional ML / Embedding Test
AdaBoost,TF-IDF + Linguistic,0.9326805385556916,0.9193357058125742,0.9485924112607099,0.9337349397590361,0.9846222184934883,178.37070202827454,Traditional ML
FNN,TF-IDF/SVD Dense Features,0.9314565483476133,0.9325153374233128,0.9302325581395349,0.9313725490196079,0.9814603686352883,12.464887857437134,Deep Learning
Decision Tree,TF-IDF + Linguistic,0.8727050183598531,0.8727050183598531,0.8727050183598531,0.8727050183598531,0.852232770877123,224.30875992774963,Traditional ML
LSTM,Tokenized Sequences,0.8219094247246022,0.742619926199262,0.98531211750306,0.8469226722777485,0.7736142468265395,283.82053804397583,Deep Learning
