model,accuracy,precision,recall,f1,auc,training_seconds,best_params
SVM,0.9687882496940025,0.9775561097256857,0.9596083231334149,0.9684990735021618,0.9955954330333534,311.81,"{'classifier__C': 2, 'classifier__kernel': 'linear'}"
Decision Tree,0.9210526315789473,0.928927680798005,0.9118727050183598,0.9203211859172329,0.9175664318063669,52.17,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5}"
AdaBoost,0.9516523867809058,0.9424460431654677,0.9620563035495716,0.9521502119927316,0.9917391897094933,98.03,"{'classifier__learning_rate': 1.0, 'classifier__n_estimators': 200}"
FNN,0.9847001223990208,0.9817518248175182,0.9877600979192166,0.9847467968273338,0.9984748812339979,21.02,manual/default app parameters
LSTM,0.9834761321909424,0.9805352798053528,0.9865361077111383,0.9835265405735204,0.9982861140782844,21.49,manual/default app parameters
CNN for Text,0.98531211750306,0.98531211750306,0.98531211750306,0.98531211750306,0.9982651399498719,43.93,manual/default app parameters
